Geo,Year,VehOwnFlatRateFee.2015,VehOwnAdValoremTax
Baker,2010,50,0
Benton,2010,50,0
Clackamas,2010,50,0
Clatsop,2010,50,0
Columbia,2010,50,0
Coos,2010,50,0
Crook,2010,50,0
Curry,2010,50,0
Deschutes,2010,50,0
Douglas,2010,50,0
Gilliam,2010,50,0
Grant,2010,50,0
Harney,2010,50,0
Hood River,2010,50,0
Jackson,2010,50,0
Jefferson,2010,50,0
Josephine,2010,50,0
Klamath,2010,50,0
Lake,2010,50,0
Lane,2010,50,0
Lincoln,2010,50,0
Linn,2010,50,0
Malheur,2010,50,0
Marion,2010,50,0
Morrow,2010,50,0
Multnomah,2010,50,0
Polk,2010,50,0
Sherman,2010,50,0
Tillamook,2010,50,0
Umatilla,2010,50,0
Union,2010,50,0
Wallowa,2010,50,0
Wasco,2010,50,0
Washington,2010,50,0
Wheeler,2010,50,0
Yamhill,2010,50,0
Baker,2040,100,0
Benton,2040,100,0
Clackamas,2040,100,0
Clatsop,2040,100,0
Columbia,2040,100,0
Coos,2040,100,0
Crook,2040,100,0
Curry,2040,100,0
Deschutes,2040,100,0
Douglas,2040,100,0
Gilliam,2040,100,0
Grant,2040,100,0
Harney,2040,100,0
Hood River,2040,100,0
Jackson,2040,100,0
Jefferson,2040,100,0
Josephine,2040,100,0
Klamath,2040,100,0
Lake,2040,100,0
Lane,2040,100,0
Lincoln,2040,100,0
Linn,2040,100,0
Malheur,2040,100,0
Marion,2040,100,0
Morrow,2040,100,0
Multnomah,2040,100,0
Polk,2040,100,0
Sherman,2040,100,0
Tillamook,2040,100,0
Umatilla,2040,100,0
Union,2040,100,0
Wallowa,2040,100,0
Wasco,2040,100,0
Washington,2040,100,0
Wheeler,2040,100,0
Yamhill,2040,100,0
